County,Number of Doses
Polk,567313
Linn,260323
Johnson,187463
Scott,161276
Black Hawk,136906
Dubuque,110052
Story,108345
Dallas,107463
Woodbury,92741
Pottawattamie,86203
Warren,53477
Cerro Gordo,46645
Clinton,42669
Marshall,42612
Muscatine,41786
Jasper,37477
Webster,35902
Des Moines,34778
Boone,29817
Marion,29464
Wapello,28591
Lee,28056
Bremer,26303
Benton,25865
Sioux,24763
Washington,21768
Plymouth,21740
Winneshiek,21720
Carroll,21365
Jones,21121
Buena Vista,20453
Buchanan,20144
Cedar,19463
Poweshiek,19178
Fayette,18998
Jackson,18500
Dickinson,17942
Henry,17774
Tama,17707
Iowa,17677
Mahaska,16642
Hardin,16097
Hamilton,16027
Delaware,15868
Madison,15555
Jefferson,15281
Clay,15055
Butler,14989
Crawford,14771
Floyd,14648
Clayton,14583
Page,13863
Kossuth,13743
Grundy,13357
Mills,13326
Cass,13142
Wright,12143
O'Brien,12125
Allamakee,12036
Harrison,12005
Shelby,11945
Guthrie,11104
Union,11100
Chickasaw,11096
Cherokee,10685
Calhoun,10018
Appanoose,10013
Franklin,9480
Montgomery,9466
Mitchell,9369
Winnebago,9325
Louisa,9177
Hancock,9140
Sac,9001
Greene,8884
Clarke,8478
Humboldt,8314
Keokuk,8258
Emmet,8243
Howard,8069
Monona,7958
Palo Alto,7951
Lyon,7408
Worth,6792
Lucas,6659
Pocahontas,6194
Adair,6167
Monroe,6112
Davis,5757
Audubon,5751
Ida,5687
Fremont,5501
Decatur,5456
Van Buren,5141
Taylor,5074
Wayne,4741
Osceola,4681
Ringgold,4581
Adams,3425
.,74
