County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,251659,50513,46204,537,478,59
Linn,107497,19201,17690,305,278,27
Scott,78983,16850,15627,200,187,13
Johnson,73225,12905,12157,72,67,5
Black Hawk,65406,14751,13785,284,267,17
Woodbury,54848,13549,12936,210,194,16
Dubuque,53148,12195,11403,191,178,13
Story,52320,9362,8744,45,39,6
Dallas,49555,9896,8993,88,77,11
Pottawattamie,43927,9663,9015,140,125,15
Warren,25618,5001,4515,69,64,5
Cerro Gordo,22878,4937,4660,79,67,12
Clinton,20499,4903,4498,82,73,9
Webster,20173,4871,4652,85,71,14
Muscatine,19702,4137,3862,88,79,9
Marshall,19675,4568,4250,70,63,7
Des Moines,19542,4184,3883,56,49,7
Jasper,16659,3692,3283,65,61,4
Wapello,16583,3872,3454,105,102,3
Sioux,14711,4718,4527,67,64,3
Lee,14704,3480,3202,51,38,13
Marion,14536,3346,3054,66,58,8
Buena Vista,13951,4058,3931,36,33,3
Boone,12696,2380,2197,30,28,2
Plymouth,12390,3629,3457,77,69,8
Benton,11634,2319,2069,54,44,10
Bremer,11254,2628,2442,53,47,6
Washington,10985,2371,2194,43,40,3
Carroll,10609,2638,2536,47,39,8
Henry,10186,2772,2646,35,35,0
Mahaska,9651,2119,1934,44,39,5
Dickinson,9561,1989,1851,38,32,6
Winneshiek,9328,1782,1573,26,22,4
Jones,9191,2835,2692,54,50,4
Buchanan,8670,1732,1594,27,24,3
Fayette,8521,1757,1623,32,29,3
Cedar,8356,1647,1531,22,21,1
Jackson,8342,2075,1919,37,34,3
Crawford,8224,2469,2307,35,31,4
Poweshiek,8170,1455,1331,29,27,2
Tama,7883,1985,1845,64,62,2
Hardin,7728,1660,1541,35,31,4
Clay,7706,1821,1696,25,20,5
Iowa,7503,1365,1257,23,21,2
Wright,7485,1715,1642,31,26,5
Delaware,7326,1844,1718,38,33,5
Kossuth,7270,1941,1774,54,47,7
Mills,7193,1461,1367,20,17,3
Floyd,7166,1462,1374,38,30,8
Jefferson,7160,1267,1203,32,27,5
Madison,7047,1379,1230,17,13,4
Hamilton,7030,1719,1588,40,39,1
Pending Investigation,6572,890,780,0,0,0
Butler,6546,1570,1483,31,28,3
Clayton,6460,1588,1493,53,45,8
O'Brien,6175,1774,1658,58,54,4
Union,6124,1177,1086,31,26,5
Harrison,6024,1651,1514,68,64,4
Cass,5859,1241,1102,48,45,3
Page,5856,1692,1586,19,18,1
Winnebago,5702,1275,1187,30,25,5
Cherokee,5584,1431,1366,35,29,6
Hancock,5575,1362,1288,28,23,5
Allamakee,5574,1385,1266,41,35,6
Appanoose,5564,1201,1080,47,43,4
Grundy,5370,1293,1199,30,25,5
Guthrie,5177,1074,1018,28,23,5
Mitchell,5120,1189,1141,40,38,2
Chickasaw,5063,1180,1130,13,12,1
Louisa,5045,1203,1123,41,34,7
Calhoun,4951,1273,1225,10,10,0
Shelby,4945,1135,1019,32,29,3
Sac,4922,1160,1104,17,17,0
Franklin,4855,1082,1013,19,18,1
Emmet,4653,1136,1066,39,37,2
Clarke,4500,922,790,20,20,0
Humboldt,4407,1117,1039,23,20,3
Lyon,4273,1440,1343,41,37,4
Howard,4173,974,832,21,17,4
Palo Alto,4161,988,906,21,19,2
Montgomery,4127,958,853,36,34,2
Keokuk,3844,904,843,29,29,0
Greene,3822,722,692,10,10,0
Lucas,3510,695,644,21,17,4
Monona,3480,757,694,25,24,1
Worth,3447,650,618,4,3,1
Adair,3339,790,671,26,20,6
Decatur,3270,549,499,9,9,0
Pocahontas,3236,804,766,19,19,0
Monroe,3134,873,799,27,21,6
Davis,3123,749,686,23,22,1
Ida,3028,804,726,32,30,2
Van Buren,2533,533,489,17,14,3
Fremont,2468,548,524,9,7,2
Audubon,2411,464,409,9,8,1
Taylor,2359,634,596,11,9,2
Osceola,2246,666,636,14,12,2
Ringgold,2216,495,450,16,15,1
Wayne,2035,443,399,21,17,4
Adams,1465,317,297,3,3,0
