Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.15123094958968348,American Indian or Alaska Native
Asian,0.3384847656296437,Asian
Black,0.17116427930213497,Black
Native Hawaiian or Other Pacific Islander,0.3064113238967527,Native Hawaiian or Other Pacific Islander
Other Race,0.47142257116086719,Other Race
White,0.39397708353736168,White
