RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,528944,24520,244958,14508
19161,8316,271,3837,371
19027,20184,583,9267,1067
19013,127144,4884,58291,5678
19017,24695,809,11389,1108
19019,18642,661,8658,665
19103,179947,5337,84718,5174
19195,6278,196,2943,196
19033,43377,1700,19929,1819
19081,8474,236,3874,490
19169,102471,3925,47789,2968
19139,38939,1543,16560,4276
19165,11305,324,5366,249
19009,5454,131,2580,163
19191,20524,521,9542,919
19065,17676,616,8218,624
19061,104724,2826,50009,1880
19147,7489,236,3505,243
19183,20442,745,9471,755
19003,3222,128,1511,72
19173,4796,144,2284,84
19041,13998,470,6559,410
19125,27124,1100,11892,2240
19123,15268,644,6889,846
19157,18051,619,8477,478
19099,34913,1371,15931,1680
19073,8220,316,3684,536
19113,245594,8793,113900,9001
19049,100324,4162,46767,2628
19193,85121,4398,37995,4733
19171,16421,707,7409,896
19109,13071,420,6034,583
19187,33380,1383,15247,1503
19011,24079,898,11117,947
19141,11385,327,5251,556
19045,39747,1590,18308,1541
19067,13615,510,6246,613
19189,8807,288,3963,593
19131,8644,271,4072,229
19029,12475,401,5841,392
19135,5794,194,2622,356
19127,39337,1651,17405,2876
19063,7803,422,3527,327
19159,4280,127,2054,45
19115,8407,339,3489,1090
19163,150163,6355,69115,5578
19149,20049,722,8592,2143
19059,17004,589,8059,297
19093,5267,190,2323,431
19015,28130,992,13154,830
19075,12509,568,5696,549
19091,7761,280,3541,399
19151,5751,177,2666,242
19055,14662,538,6618,888
19101,14373,635,6500,738
19005,11098,435,5213,237
19181,49956,2198,23122,1514
19025,9412,290,4374,374
19083,14963,550,6728,957
19069,8721,348,3988,397
19023,14069,465,6564,476
19133,7453,259,3470,254
19085,11208,553,5137,381
19137,8775,415,3908,544
19111,26038,1045,11637,1719
19037,10291,313,4611,756
19197,11337,364,5008,957
19179,26284,1126,11339,2480
19121,14521,575,6784,378
19095,16609,594,7635,745
19143,4473,108,2063,239
19051,5443,212,2526,179
19047,13567,547,5827,1366
19145,13028,622,5929,548
19043,13848,354,6448,598
19057,32120,1632,14766,956
19007,9376,405,4263,445
19107,7692,261,3558,315
19077,10444,394,4836,378
19129,12301,553,5724,300
19021,17647,936,6827,3057
19087,16377,676,7020,1661
19053,5091,227,2305,254
19097,17261,526,8161,413
19155,79115,3992,36444,2235
19079,15091,504,6938,711
19035,9953,369,4590,404
19001,5820,241,2621,337
19175,10394,440,4830,294
19167,22875,795,10156,1768
19089,7446,287,3326,507
19119,7015,158,3324,209
19185,4390,159,2020,191
19039,7804,375,3343,743
19117,6229,211,2795,428
19031,18356,572,8541,702
19071,5185,192,2397,199
19177,4661,174,2125,237
19105,19898,587,9103,1105
,75,7,32,4
