County,Number of Doses
Polk,794420
Linn,366418
Johnson,266564
Scott,229100
Black Hawk,186827
Dallas,153040
Dubuque,152453
Story,150760
Woodbury,123921
Pottawattamie,118221
Warren,74499
Cerro Gordo,63862
Marshall,59770
Clinton,58631
Muscatine,57909
Jasper,52056
Webster,48493
Des Moines,47936
Marion,41179
Boone,40660
Wapello,38793
Lee,38624
Bremer,36560
Benton,35674
Sioux,32591
Winneshiek,31318
Plymouth,30080
Washington,29714
Carroll,29496
Jones,29259
Buchanan,27464
Buena Vista,27390
Poweshiek,27107
Cedar,26975
Fayette,26217
Jackson,25694
Henry,24701
Dickinson,24634
Iowa,24489
Tama,24257
Mahaska,23098
Hamilton,22341
Hardin,22296
Delaware,22159
Madison,21394
Jefferson,20903
Clay,20663
Butler,20477
Floyd,20314
Crawford,20202
Clayton,19425
Page,19344
Kossuth,18539
Cass,18253
Grundy,18180
Mills,17788
Wright,16867
O'Brien,16429
Shelby,16419
Allamakee,16414
Harrison,15797
Chickasaw,15604
Union,15370
Guthrie,15122
Cherokee,14415
Appanoose,14005
Calhoun,13883
Montgomery,12994
Franklin,12906
Mitchell,12886
Winnebago,12790
Louisa,12621
Hancock,12490
Sac,12296
Greene,12236
Clarke,11668
Emmet,11346
Humboldt,11311
Howard,11274
Keokuk,11169
Palo Alto,10896
Monona,10638
Lyon,9946
Worth,9438
Lucas,9340
Adair,8651
Monroe,8435
Pocahontas,8344
Ida,7910
Audubon,7845
Davis,7832
Decatur,7719
Fremont,7370
Taylor,7015
Van Buren,6997
Ringgold,6654
Wayne,6628
Osceola,6341
Adams,4958
.,161
