Gender (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),* Gender Percent Vaccinated,Gender (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
Female,0.510079892928955,Female
Male,0.43427907642856009,Male
