ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,516345,21746,241283,12421
19021,17573,631,6642,3560
19027,20466,479,9357,1098
19049,88544,3042,42221,2434
19181,34772,1172,16394,970
19013,139771,4351,64574,6116
19033,51592,1862,23895,1871
19169,100978,4158,47428,2755
19195,3441,47,1698,1
19083,13584,214,5994,1327
19189,8320,205,3798,500
19155,94649,3864,42513,4839
19139,32537,963,13268,4908
19009,4114,24,1995,101
19005,11341,292,5465,112
19099,28612,741,13466,1137
19103,184217,5625,87377,4161
19017,25643,795,11815,1221
19065,20962,466,9784,911
19061,121080,2884,58131,2135
19041,16574,455,7954,267
19147,6778,154,3225,148
19193,90402,3780,41118,4806
19003,3544,75,1636,8
19173,4468,82,2169,20
19175,9922,291,4712,301
19067,13603,272,6139,1036
19063,10056,536,4512,378
19035,9518,202,4520,269
19123,15361,438,7165,547
19183,14941,453,6971,541
19179,24956,812,11570,881
19073,9377,189,4307,501
19113,248898,7182,117185,8617
19019,12645,266,6026,328
19101,15713,557,7102,958
19127,30019,1021,13134,2835
19109,12337,321,5745,487
19187,35552,1190,16393,1311
19037,5901,113,2729,337
19011,15492,378,7323,461
19045,34483,1278,15789,1553
19081,6713,67,2963,719
19131,8907,137,4297,156
19029,20946,434,9929,428
19135,6670,151,3099,289
19059,15402,429,7362,247
19159,4212,61,2045,5
19163,166838,6206,76620,6162
19125,28034,698,11585,4022
19149,17030,372,6839,2939
19015,22864,575,10895,551
19141,10833,239,5120,344
19091,8412,208,3837,382
19151,3919,65,1851,148
19055,9870,233,4459,757
19031,12591,236,6054,280
19167,22468,500,9658,2642
19143,3152,34,1476,168
19161,6571,90,3206,50
19069,7166,134,3389,244
19133,4459,72,2100,203
19075,9579,290,4442,393
19171,17635,534,8022,984
19137,7111,271,3121,577
19111,25965,803,11519,1887
19197,11366,232,4720,1713
19047,13646,316,5860,1584
19077,8972,183,4256,259
19093,3688,99,1550,493
19051,8145,156,3136,1659
19025,8429,75,4072,177
19145,14484,572,6520,842
19057,36828,1577,17246,714
19007,8991,246,4088,477
19157,18541,455,8880,424
19191,17109,521,7806,1010
19023,7829,94,3774,168
19087,16435,434,7029,1892
19001,4727,124,2161,331
19079,14257,215,6739,406
19095,11966,208,5559,617
19119,6038,101,2926,74
19043,12690,173,5905,660
19117,7238,160,3295,396
19039,9756,228,4075,1364
19107,3286,38,1575,100
19165,11581,222,5593,131
19185,6366,167,2858,377
19115,7963,141,3155,1528
19053,5938,143,2791,118
19177,2993,76,1402,111
19121,13942,252,6733,155
19085,6997,247,3246,245
,10374,246,5211,1
19105,13181,252,5993,888
19097,16149,279,7813,258
19129,12071,492,5703,145
19089,4445,126,2075,182
19071,3333,67,1584,98
