County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,641330,61479,51383,581,516,65
Linn,270110,21215,19142,325,291,34
Black Hawk,200962,16691,14652,301,279,22
Johnson,195671,14375,13049,79,74,5
Scott,193868,19413,17004,227,208,19
Dubuque,176113,13951,12232,201,187,14
Story,152479,10778,9560,46,40,6
Woodbury,135944,15800,13618,218,200,18
Dallas,119804,11975,10118,95,83,12
Pottawattamie,111351,11354,9728,154,136,18
Marshall,77208,5098,4571,74,66,8
Cerro Gordo,71693,5501,4917,85,71,14
Warren,70799,5861,5060,80,71,9
Webster,65347,5319,4863,89,75,14
Clinton,58152,5668,4940,87,76,11
Des Moines,52693,4686,4227,64,53,11
Muscatine,50914,4760,4166,96,87,9
Lee,50807,3873,3575,55,42,13
Jasper,48362,4363,3821,69,64,5
Wapello,44116,4576,3934,118,114,4
Buena Vista,42497,4826,4087,39,35,4
Boone,41633,2705,2406,31,29,2
Sioux,41256,5133,4725,69,66,3
Poweshiek,39722,1587,1455,32,29,3
Marion,39293,3712,3350,75,64,11
Washington,38307,2613,2354,49,45,4
Bremer,36597,2896,2638,58,49,9
Plymouth,35696,4147,3604,79,71,8
Winneshiek,35558,1965,1798,32,27,5
Benton,34956,2633,2353,54,44,10
Henry,34107,2976,2764,37,36,1
Carroll,34081,2942,2621,49,42,7
Fayette,33138,1898,1754,39,34,5
Hardin,32265,1886,1662,40,33,7
Tama,30830,2174,1953,68,65,3
Mahaska,28892,2303,2100,49,44,5
Buchanan,28796,1942,1740,31,26,5
Cedar,28659,1872,1701,23,21,2
Butler,27946,1701,1553,33,29,4
Iowa,27806,1497,1376,23,21,2
Clay,27736,2132,1817,25,20,5
Crawford,25993,2827,2506,37,32,5
Delaware,25604,2001,1819,39,35,4
Dickinson,24494,2454,1994,41,35,6
Kossuth,24304,2190,1935,58,51,7
O'Brien,24302,2072,1777,58,54,4
Jones,24170,3003,2794,55,51,4
Jackson,24064,2276,2059,42,39,3
Floyd,23905,1688,1438,41,31,10
Clayton,23270,1707,1555,55,46,9
Hamilton,22219,1944,1696,46,43,3
Mills,20224,1716,1467,20,17,3
Allamakee,20010,1537,1388,49,39,10
Harrison,20005,1838,1604,71,67,4
Page,19972,1922,1789,19,18,1
Wright,19822,1836,1709,35,28,7
Hancock,19810,1504,1348,33,27,6
Cherokee,19660,1649,1413,37,29,8
Cass,19564,1403,1241,54,48,6
Madison,19213,1642,1438,19,15,4
Jefferson,19204,1411,1262,35,29,6
Sac,18580,1312,1171,19,19,0
Franklin,18539,1215,1066,21,19,2
Grundy,18235,1415,1292,31,26,5
Calhoun,17355,1377,1283,11,11,0
Palo Alto,17145,1126,991,22,20,2
Monona,17107,846,740,30,28,2
Guthrie,17098,1240,1075,28,23,5
Mitchell,16742,1357,1177,41,38,3
Appanoose,16741,1420,1187,47,43,4
Chickasaw,16412,1276,1187,15,13,2
Winnebago,16391,1435,1274,31,26,5
Louisa,16253,1314,1181,48,41,7
Union,16139,1302,1165,32,26,6
Howard,15925,1066,974,22,18,4
Shelby,15794,1296,1130,34,31,3
Emmet,15656,1306,1108,40,38,2
Keokuk,14705,1004,898,30,30,0
Humboldt,14658,1223,1111,26,23,3
Lyon,14529,1512,1418,41,37,4
Greene,13977,801,720,10,10,0
Montgomery,13426,1060,932,37,35,2
Clarke,12587,1035,927,23,22,1
Pocahontas,12168,874,794,20,20,0
Worth,11866,717,662,8,7,1
Pending Investigation,11733,1043,934,0,0,0
Adair,11690,957,785,32,22,10
Ida,11664,984,774,32,30,2
Audubon,11271,505,461,9,8,1
Davis,10337,856,741,24,23,1
Decatur,9937,598,567,9,9,0
Ringgold,9170,549,489,22,18,4
Monroe,9146,958,869,28,21,7
Lucas,8772,774,697,22,18,4
Taylor,8024,668,630,12,10,2
Van Buren,7917,567,522,18,15,3
Osceola,7891,743,669,16,13,3
Fremont,6828,619,548,10,8,2
Wayne,6238,553,447,23,18,5
Adams,5164,330,315,4,4,0
