Age Group Public,RECIP_ID
0 - 11,21
12 - 15,117916
16 - 17,68868
18 - 19,76077
20 - 29,369096
30 - 39,404376
40 - 49,413999
50 - 59,499237
60 - 64,304642
65+,935425
