ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19045,16057,14635,1422
19153,231989,220928,11061
19103,86604,82724,3880
19121,6697,6553,144
19155,44574,39829,4745
19077,4348,4113,235
19113,118271,110189,8082
19061,57562,55577,1985
19047,7167,5600,1567
19021,9513,6233,3280
19027,9875,8826,1049
19049,41493,39262,2231
19181,16431,15543,888
19013,66682,60880,5802
19033,24331,22647,1684
19169,47089,44530,2559
19195,1654,1653,1
19083,7053,5766,1287
19189,4117,3636,481
19139,17154,12426,4728
19009,2028,1927,101
19005,5460,5355,105
19089,2142,1983,159
19115,4607,3090,1517
19087,8592,6808,1784
19099,13764,12727,1037
19017,12366,11209,1157
19065,10415,9536,879
19041,7849,7625,224
19147,3289,3149,140
19179,11594,10985,609
19085,3405,3185,220
19193,43429,38862,4567
19171,8399,7435,964
19003,1596,1590,6
19183,7095,6596,499
19173,2156,2141,15
19157,8920,8520,400
19175,4720,4452,268
19125,15061,11080,3981
19067,6935,5952,983
19031,6146,5881,265
19063,4760,4406,354
19079,6915,6519,396
19075,4668,4313,355
19059,7298,7086,212
19109,5927,5464,463
19119,2968,2898,70
19053,2832,2714,118
19159,1967,1963,4
19191,8204,7253,951
19023,3928,3769,159
19167,11907,9327,2580
19163,77229,71513,5716
19071,1643,1549,94
19117,3518,3142,376
,5212,5211,1
19039,5232,3881,1351
19177,1488,1389,99
19043,6475,5833,642
19073,4530,4050,480
19037,3005,2689,316
19141,5196,4882,314
19185,3170,2800,370
19015,10787,10271,516
19091,4100,3730,370
19081,3588,2884,704
19105,6504,5698,806
19187,16761,15622,1139
19197,6054,4391,1663
19011,7547,7109,438
19035,4638,4396,242
19151,1942,1798,144
19123,7383,6908,475
19025,4200,4038,162
19055,5008,4280,728
19095,5985,5403,582
19149,9404,6531,2873
19019,6088,5791,297
19057,16849,16182,667
19129,5109,4970,139
19101,7576,6660,916
19127,14719,12087,2632
19029,10069,9668,401
19135,3254,2984,270
19143,1593,1435,158
19161,3227,3182,45
19069,3484,3257,227
19133,2147,1967,180
19137,3556,2999,557
19111,12655,10911,1744
19093,1987,1509,478
19051,4729,3080,1649
19165,5541,5433,108
19131,4331,4197,134
19107,1646,1546,100
19145,6979,6271,708
19097,7779,7542,237
19007,4420,3962,458
19001,2379,2055,324
