County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,239943,47921,41746,500,447,53
Linn,103284,18502,16546,293,266,27
Scott,76409,16220,14360,180,170,10
Johnson,70353,12461,11172,62,58,4
Black Hawk,63162,14372,12857,259,244,15
Woodbury,53000,13254,12270,197,183,14
Dubuque,51463,11825,10581,176,167,9
Story,49545,9010,8086,40,35,5
Dallas,47328,9321,8032,78,67,11
Pottawattamie,42600,9329,8324,126,112,14
Warren,24496,4746,3864,59,55,4
Cerro Gordo,21439,4813,4324,74,62,12
Webster,19618,4770,4442,81,69,12
Clinton,19508,4693,4138,72,65,7
Muscatine,19026,4007,3543,83,75,8
Des Moines,18849,4040,3537,53,46,7
Marshall,18619,4384,4056,68,63,5
Jasper,15734,3397,2897,63,59,4
Wapello,15240,3588,3070,100,98,2
Sioux,14209,4628,4327,62,59,3
Lee,14159,3364,2899,42,32,10
Marion,13731,3169,2747,59,51,8
Buena Vista,13608,4006,3717,35,32,3
Boone,12067,2284,1946,24,22,2
Plymouth,11987,3564,3313,72,65,7
Benton,11114,2176,1954,51,41,10
Bremer,10817,2535,2281,51,45,6
Washington,10518,2274,1936,39,37,2
Carroll,10283,2595,2367,43,37,6
Henry,9828,2716,2451,33,33,0
Dickinson,9266,1909,1707,32,29,3
Mahaska,9243,2024,1733,40,36,4
Pending Investigation,8845,1064,719,0,0,0
Jones,8826,2780,2581,53,50,3
Winneshiek,8805,1653,1376,24,20,4
Buchanan,8341,1652,1455,24,22,2
Fayette,8157,1695,1426,26,23,3
Jackson,8006,1993,1765,35,32,3
Cedar,7988,1587,1392,20,19,1
Crawford,7932,2382,2121,31,28,3
Poweshiek,7782,1387,1206,27,25,2
Tama,7584,1938,1729,61,59,2
Clay,7399,1752,1541,23,18,5
Hardin,7391,1605,1452,33,30,3
Wright,7252,1689,1531,28,24,4
Iowa,7211,1310,1142,23,21,2
Delaware,7051,1789,1609,36,32,4
Mills,6997,1401,1288,17,16,1
Kossuth,6954,1855,1544,49,44,5
Floyd,6834,1434,1271,38,30,8
Madison,6690,1295,996,12,10,2
Jefferson,6679,1234,1037,29,26,3
Hamilton,6647,1645,1481,36,35,1
Butler,6265,1536,1293,29,26,3
Clayton,6187,1556,1388,51,43,8
Union,5947,1144,1017,27,24,3
O'Brien,5943,1724,1558,58,54,4
Harrison,5858,1612,1397,65,61,4
Cass,5616,1180,1020,45,43,2
Winnebago,5437,1246,1089,30,25,5
Page,5436,1515,1378,17,16,1
Cherokee,5346,1409,1237,31,26,5
Allamakee,5333,1327,1161,37,32,5
Appanoose,5289,1145,958,43,41,2
Hancock,5274,1344,1174,25,20,5
Grundy,5176,1241,1106,28,23,5
Guthrie,4997,1054,948,27,22,5
Mitchell,4958,1179,1034,39,38,1
Louisa,4856,1180,1055,33,27,6
Calhoun,4806,1248,1173,9,9,0
Chickasaw,4772,1150,1058,12,11,1
Sac,4770,1142,1037,17,17,0
Shelby,4714,1100,933,29,28,1
Franklin,4579,1056,905,19,18,1
Emmet,4506,1114,986,35,34,1
Humboldt,4268,1085,972,20,17,3
Clarke,4233,849,694,13,13,0
Lyon,4113,1396,1245,35,31,4
Palo Alto,3985,934,822,16,15,1
Montgomery,3943,921,753,30,29,1
Howard,3920,902,727,20,16,4
Greene,3690,702,647,8,8,0
Keokuk,3618,869,789,28,28,0
Lucas,3354,677,589,12,10,2
Monona,3352,723,545,21,20,1
Worth,3270,628,538,4,3,1
Adair,3205,705,600,24,19,5
Pocahontas,3162,791,719,17,17,0
Decatur,3048,509,441,5,5,0
Monroe,2978,836,684,26,21,5
Ida,2878,780,674,30,29,1
Davis,2855,713,637,23,22,1
Van Buren,2391,514,447,16,13,3
Fremont,2391,531,469,8,6,2
Taylor,2276,611,548,11,9,2
Audubon,2275,433,375,8,8,0
Osceola,2180,653,607,12,10,2
Ringgold,2124,466,365,12,11,1
Wayne,1970,425,370,21,17,4
Adams,1406,308,272,3,3,0
