RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,542362,24805,251339,14879
19059,17331,557,8229,316
19161,8526,297,3921,387
19027,20583,565,9462,1094
19013,130457,5246,59731,5749
19017,25259,801,11666,1126
19019,19222,665,8940,677
19103,182711,5497,85967,5280
19195,6457,206,3026,199
19033,44532,1709,20478,1867
19081,8694,268,3963,500
19169,104414,4130,48599,3086
19139,40004,1616,17031,4326
19165,11532,331,5469,263
19009,5556,154,2619,164
19191,20920,577,9707,929
19065,18094,664,8400,630
19061,106729,2908,50942,1937
19147,7648,252,3571,254
19183,20870,757,9674,765
19003,3290,123,1547,73
19173,4878,143,2325,85
19041,14294,498,6691,414
19125,27842,1106,12226,2284
19123,15724,659,7099,867
19157,18439,682,8629,499
19099,35712,1383,16314,1701
19073,8414,328,3768,550
19113,251032,8404,116734,9160
19049,102731,4205,47911,2704
19193,87730,4467,39257,4749
19171,16749,694,7574,907
19109,13300,412,6143,602
19187,34257,1448,15645,1519
19011,24679,860,11426,967
19141,11599,357,5332,578
19045,40709,1647,18741,1580
19067,14019,445,6478,618
19189,8986,291,4047,601
19131,8832,291,4154,233
19029,12705,387,5958,402
19135,5894,183,2674,363
19127,40336,1645,17880,2931
19063,7935,406,3598,333
19159,4366,110,2105,46
19163,154099,6626,70879,5715
19115,8714,380,3609,1116
19149,20528,747,8818,2145
19093,5390,203,2372,443
19015,28740,971,13461,847
19075,12869,485,5910,564
19091,7967,267,3649,402
19151,5903,178,2736,253
19055,15060,517,6825,893
19101,14700,652,6646,756
19005,11435,440,5377,241
19181,51167,2103,23752,1560
19025,9647,286,4484,393
19083,15355,551,6896,1012
19069,8968,343,4108,409
19023,14389,450,6724,491
19133,7622,259,3546,271
19085,11490,599,5254,383
19137,9031,429,4026,550
19111,26783,981,12017,1768
19037,10558,363,4714,767
19197,11625,394,5125,981
19179,27006,1135,11680,2511
19121,14856,540,6961,394
19095,17030,501,7883,763
19143,4542,105,2097,243
19051,5565,206,2586,187
19047,13989,591,6010,1378
19155,81730,3887,37789,2265
19145,13325,592,6091,551
19043,14086,377,6555,599
19057,33137,1597,15267,1006
19007,9596,405,4365,461
19107,7886,267,3646,327
19077,10665,384,4947,387
19129,12809,518,5988,315
19021,18592,1137,7090,3275
19087,16935,700,7248,1739
19053,5238,224,2377,260
19097,17684,520,8371,422
19079,15460,501,7116,727
19035,10201,393,4700,408
19001,5936,228,2683,342
19175,10631,443,4940,308
19167,23469,875,10405,1784
19089,7691,320,3425,521
19119,7138,176,3372,218
19185,4514,181,2068,197
19039,8061,384,3466,745
19117,6369,208,2862,437
19031,18772,540,8760,712
19071,5324,180,2471,202
19177,4804,198,2176,254
19105,20357,598,9323,1113
,71,5,31,4
