ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,272782,257484,15298
19021,10847,7215,3632
19027,11070,9834,1236
19049,47689,44874,2815
19181,18254,17113,1141
19013,74689,68295,6394
19033,27422,25309,2113
19169,52800,49585,3215
19195,1755,1754,1
19083,7561,6210,1351
19189,4510,3997,513
19081,3759,3016,743
19155,50023,45041,4982
19139,19289,14060,5229
19009,2129,2028,101
19005,5816,5688,128
19099,15318,14106,1212
19103,95330,90772,4558
19017,13941,12499,1442
19065,11093,10133,960
19061,63026,60616,2410
19041,8604,8291,313
19063,5063,4649,414
19147,3510,3340,170
19193,49339,44278,5061
19003,1688,1669,19
19173,2272,2238,34
19175,5317,4965,352
19067,7628,6410,1218
19035,5079,4707,372
19123,8123,7534,589
19183,7959,7365,594
19179,13328,12285,1043
19073,4948,4423,525
19113,132589,122986,9603
19019,6736,6365,371
19101,8498,7495,1003
19127,17330,14110,3220
19109,6511,5984,527
19187,18784,17350,1434
19037,3180,2818,362
19011,8084,7605,479
19141,5721,5324,397
19045,18643,16942,1701
19131,4651,4459,192
19029,10700,10227,473
19135,3615,3243,372
19059,7997,7717,280
19159,2122,2116,6
19163,87646,80937,6709
19125,16323,12181,4142
19149,10163,7168,2995
19015,12018,11412,606
19091,4400,3964,436
19151,2087,1909,178
19055,5459,4637,822
19031,6556,6258,298
19167,12911,10123,2788
19143,1717,1518,199
19161,3287,3220,67
19069,3754,3483,271
19133,2379,2148,231
19075,5091,4585,506
19171,9179,8195,984
19137,3901,3296,605
19111,14405,12219,2186
19197,6738,4929,1809
19047,7800,6192,1608
19077,4704,4383,321
19093,2135,1603,532
19051,4952,3260,1692
19025,4305,4092,213
19145,7690,6835,855
19057,19194,18423,771
19007,4748,4235,513
19157,9684,9220,464
19191,9366,8295,1071
19023,4016,3823,193
19087,9471,7407,2064
19053,3018,2881,137
19097,8429,8126,303
19001,2557,2213,344
19079,7404,6982,422
19095,6357,5704,653
19119,3114,3004,110
19043,6673,6004,669
19085,3577,3306,271
19117,3866,3425,441
19039,5691,4304,1387
19107,1711,1611,100
19165,6007,5834,173
19185,3329,2920,409
19115,4785,3219,1566
19121,7127,6945,182
19177,1551,1420,131
,5211,5210,1
19105,7224,6235,989
19129,6069,5898,171
19089,2414,2194,220
19071,1706,1608,98
