county_fips,metric_value
19009,0.616
19063,0.511
19125,0.5479999999999999
19189,0.542
19121,0.562
19019,0.574
19183,0.605
19117,0.47600000000000006
19139,0.628
19187,0.589
19155,0.586
19135,0.47700000000000006
19069,0.556
19147,0.531
19113,0.687
19059,0.597
19133,0.5660000000000001
19027,0.66
19165,0.62
19021,0.69
19175,0.526
19015,0.6579999999999999
19169,0.627
19079,0.6509999999999999
19191,0.622
19067,0.5579999999999999
19093,0.519
19141,0.535
19013,0.616
19119,0.441
19071,0.53
19181,0.619
19137,0.58
19035,0.556
19031,0.62
19103,0.738
19007,0.48100000000000006
19105,0.608
19115,0.534
19091,0.518
19051,0.40399999999999999
19109,0.5479999999999999
19101,0.47600000000000006
19107,0.48700000000000007
19085,0.54
19053,0.42200000000000006
19161,0.5489999999999999
19075,0.643
19127,0.67
19129,0.565
19077,0.609
19033,0.648
19151,0.55
19037,0.5710000000000001
19097,0.5529999999999999
19143,0.478
19131,0.518
19185,0.444
19179,0.507
19049,0.7
19043,0.504
19057,0.525
19025,0.617
19157,0.593
19017,0.621
19029,0.608
19001,0.51
19003,0.552
19167,0.447
19171,0.652
19149,0.55
19039,0.573
19065,0.563
19045,0.563
19095,0.66
19197,0.604
19145,0.531
19081,0.512
19195,0.5329999999999999
19061,0.677
19083,0.565
19193,0.5820000000000001
19123,0.455
19073,0.604
19111,0.523
19153,0.695
19047,0.565
19011,0.602
19023,0.604
19087,0.552
19005,0.556
19177,0.435
19099,0.6
19159,0.5329999999999999
19041,0.547
19089,0.5489999999999999
19163,0.614
19173,0.496
19055,0.561
,0.635
