ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,564759,28378,260639,15505
19059,16551,642,7807,289
19021,19941,1218,7380,3863
19027,22071,770,9936,1257
19049,96959,4563,45464,2823
19181,37181,1589,17302,1151
19013,151028,6339,69042,6412
19033,56082,2595,25610,2125
19169,107716,5102,50086,3249
19195,3578,68,1756,1
19083,14423,440,6279,1351
19189,8912,300,4040,513
19081,6972,136,3044,749
19155,102733,5503,45649,4998
19139,35402,1385,14323,5256
19009,4221,62,2030,101
19005,12035,413,5738,129
19099,30597,1052,14267,1220
19103,194546,7048,91615,4639
19017,27810,1007,12661,1485
19065,22024,659,10203,960
19061,128763,4233,61147,2429
19041,17691,694,8372,313
19063,10521,600,4686,419
19147,7160,231,3365,174
19193,100312,5736,44962,5072
19003,3643,82,1675,20
19173,4686,119,2251,37
19175,10822,508,5028,356
19067,14753,478,6552,1222
19035,10261,373,4755,372
19123,16622,705,7638,589
19183,16183,687,7441,598
19179,27318,1250,12447,1051
19073,9791,286,4454,525
19113,267610,9748,124722,9664
19019,13826,538,6459,378
19101,16923,787,7570,1003
19127,33231,1500,14307,3258
19109,13055,412,6036,533
19187,38650,1796,17588,1435
19037,6175,153,2835,362
19011,16298,530,7640,487
19141,11531,378,5366,418
19045,37976,1846,17166,1714
19131,9460,252,4494,195
19029,21898,604,10292,473
19135,7103,179,3258,375
19159,4469,125,2141,6
19163,180146,8439,81849,6792
19125,30141,1143,12341,4160
19149,18143,595,7259,2995
19015,24284,720,11511,611
19091,8887,314,3990,436
19151,4136,114,1917,179
19055,10784,423,4787,822
19031,13207,303,6318,301
19167,24149,898,10227,2788
19143,3296,50,1521,204
19161,6703,138,3236,70
19069,7572,235,3524,281
19133,4704,131,2179,231
19075,10368,437,4709,512
19171,18203,662,8231,985
19137,7778,436,3355,606
19111,28631,1281,12456,2208
19197,12160,354,5001,1823
19047,14802,622,6272,1608
19077,9473,269,4429,323
19093,3897,128,1616,541
19051,8566,228,3292,1700
19025,8605,151,4101,222
19145,15528,795,6924,855
19057,40478,2217,18704,798
19007,9616,461,4274,516
19157,19667,683,9295,487
19191,18623,797,8395,1071
19023,7978,113,3828,193
19087,17926,740,7517,2107
19053,6265,212,2911,137
19097,17184,514,8194,303
19001,4920,175,2224,344
19079,15048,376,7042,426
19039,10509,371,4370,1387
19095,12396,229,5746,654
19119,6326,154,3023,116
19043,13036,279,6023,668
19085,7338,405,3323,271
19117,7661,223,3454,442
19107,3402,60,1621,100
19165,12369,358,5892,189
19185,6613,214,2940,409
19115,8226,172,3243,1573
19121,14646,360,7008,189
19177,3047,69,1420,134
,10386,238,5210,1
19105,14066,386,6321,993
19129,13319,597,6257,183
19089,4910,254,2220,234
19071,3432,96,1619,98
