Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.16359906213364595,American Indian or Alaska Native
Asian,0.3630927614450956,Asian
Black,0.18868115998594904,Black
Native Hawaiian or Other Pacific Islander,0.33263946711074107,Native Hawaiian or Other Pacific Islander
Other Race,0.5046202061322735,Other Race
White,0.4092865537165802,White
