Age Group Public,RECIP_ID
0 - 11,17
12 - 15,111601
16 - 17,66704
18 - 19,74499
20 - 29,363015
30 - 39,398868
40 - 49,409075
50 - 59,494842
60 - 64,302780
65+,932753
