Age Group Public,RECIP_ID
0 - 11,21
12 - 15,121805
16 - 17,70315
18 - 19,77329
20 - 29,373637
30 - 39,408812
40 - 49,417753
50 - 59,502605
60 - 64,305961
65+,937361
