County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,715508,64950,55488,626,552,74
Linn,300863,22271,19955,335,299,36
Black Hawk,220699,17295,15271,308,285,23
Scott,219102,21477,18902,241,217,24
Johnson,217218,15353,13947,83,77,6
Dubuque,197468,14665,12951,208,193,15
Story,166249,11385,10257,48,42,6
Woodbury,150356,16437,14710,228,209,19
Dallas,131667,12519,10811,98,85,13
Pottawattamie,123215,12241,10625,168,148,20
Marshall,84668,5201,4704,75,67,8
Warren,79985,6276,5481,88,78,10
Cerro Gordo,78830,5823,5141,89,74,15
Webster,70280,5414,4991,93,78,15
Clinton,65534,6038,5289,93,79,14
Des Moines,57894,4936,4364,66,55,11
Muscatine,57655,5148,4541,99,90,9
Lee,55404,3999,3641,55,42,13
Jasper,53560,4536,4043,72,66,6
Wapello,48283,4664,4132,122,118,4
Sioux,47101,5324,4993,74,71,3
Poweshiek,46576,1623,1500,34,31,3
Buena Vista,45882,4894,4182,40,36,4
Boone,45437,2838,2559,34,31,3
Marion,43576,3830,3488,75,64,11
Washington,42765,2703,2448,50,46,4
Winneshiek,41309,2049,1914,35,30,5
Bremer,40617,2985,2732,60,51,9
Plymouth,39323,4316,3900,80,72,8
Benton,38427,2724,2453,55,44,11
Carroll,37624,3070,2743,52,43,9
Fayette,37448,1932,1798,41,36,5
Henry,37222,3062,2826,37,36,1
Hardin,36023,1986,1762,43,34,9
Tama,33387,2224,1994,71,67,4
Mahaska,32307,2411,2193,51,46,5
Cedar,32294,1991,1818,23,21,2
Buchanan,32277,2020,1856,32,26,6
Clay,31601,2266,2092,25,20,5
Iowa,30478,1549,1436,24,22,2
Butler,30272,1740,1588,34,30,4
Delaware,29901,2139,1993,41,37,4
Crawford,28821,2904,2586,40,35,5
Dickinson,27689,2674,2381,43,37,6
Jones,27513,3112,2876,57,51,6
Kossuth,26927,2274,2071,64,56,8
O'Brien,26788,2148,1912,60,55,5
Floyd,26483,1789,1513,42,32,10
Jackson,26462,2350,2146,42,39,3
Clayton,25948,1784,1623,56,47,9
Hamilton,23945,1988,1741,49,45,4
Hancock,22098,1581,1405,34,27,7
Allamakee,22015,1570,1442,51,41,10
Page,21960,1994,1885,22,20,2
Harrison,21915,1933,1690,73,69,4
Mills,21755,1792,1570,22,19,3
Madison,21474,1764,1528,19,15,4
Cherokee,21361,1691,1531,38,30,8
Wright,21266,1920,1774,37,30,7
Cass,21239,1468,1296,54,48,6
Jefferson,21043,1438,1287,35,29,6
Sac,21009,1388,1256,19,19,0
Franklin,20209,1309,1106,21,19,2
Grundy,19788,1441,1323,33,27,6
Palo Alto,19372,1185,1087,23,22,1
Guthrie,19104,1300,1157,30,24,6
Calhoun,19004,1434,1319,13,12,1
Monona,18531,884,785,30,28,2
Appanoose,18521,1454,1220,49,44,5
Mitchell,18410,1378,1222,42,39,3
Chickasaw,18154,1313,1217,16,14,2
Winnebago,18111,1534,1332,31,26,5
Louisa,17856,1342,1226,49,42,7
Shelby,17845,1369,1252,37,33,4
Union,17741,1364,1203,33,26,7
Emmet,17557,1414,1246,40,38,2
Howard,17301,1095,1009,22,18,4
Lyon,16961,1589,1507,41,37,4
Keokuk,16124,1027,922,31,31,0
Humboldt,15768,1240,1158,26,23,3
Greene,15364,824,758,10,10,0
Montgomery,14707,1109,977,38,36,2
Clarke,13830,1063,962,24,22,2
Pocahontas,13635,899,823,22,22,0
Worth,13572,791,705,8,7,1
Ida,12885,1012,860,35,32,3
Audubon,12664,529,482,10,9,1
Adair,12525,985,816,32,22,10
Davis,11532,902,775,24,23,1
Decatur,10676,624,587,9,9,0
Ringgold,10329,575,532,24,18,6
Monroe,10011,997,915,29,22,7
Lucas,9682,800,729,23,18,5
Osceola,9344,815,741,16,13,3
Pending Investigation,8959,997,931,0,0,0
Taylor,8956,683,645,12,10,2
Van Buren,8732,583,541,18,15,3
Fremont,7478,660,609,9,7,2
Wayne,7395,581,497,23,18,5
Adams,5856,349,330,4,4,0
