Age Group Public,RECIP_ID
0 - 11,7
12 - 15,83686
16 - 17,57160
18 - 19,66904
20 - 29,338577
30 - 39,376031
40 - 49,388653
50 - 59,474906
60 - 64,294137
65+,920313
