County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,39993,204265,9959,458303
Linn,15763,102612,7630,227319
Johnson,12236,76835,3637,169195
Scott,10741,67163,5288,151612
Story,7587,41657,2350,92386
Black Hawk,7313,57966,5433,128924
Dallas,6220,36450,2035,79785
Pottawattamie,6217,37394,4639,86583
Dubuque,4914,53946,1838,114443
Woodbury,4869,37332,4362,83474
Cerro Gordo,2798,21785,1533,47965
Des Moines,2278,15537,621,34006
Webster,2149,14466,987,32303
Warren,2012,14859,798,32358
Clinton,1891,13971,1265,31176
Jasper,1792,11764,841,25989
Muscatine,1742,11653,4491,29653
Marshall,1644,11531,2590,27236
Tama,1486,6786,964,16036
Wapello,1353,10428,514,22829
Bremer,1168,10901,1109,24069
Lee,1147,10473,1545,23887
Boone,1096,9852,463,21210
Marion,1086,10670,3937,26508
Jefferson,953,6305,864,14429
Carroll,879,8576,988,19175
Washington,847,6253,469,13836
Poweshiek,843,8095,300,17231
Sioux,820,8941,2501,21218
Page,789,6073,650,13610
Winneshiek,783,6935,900,15552
Buena Vista,776,5973,3216,16028
Mills,767,4764,122,10436
Mahaska,706,6594,419,14357
Henry,661,6522,1614,15375
Emmet,653,4306,337,9707
Fayette,651,9336,858,20198
Cass,640,9472,335,20134
Clay,634,7417,164,15591
Dickinson,614,6880,178,14558
Jones,604,5410,760,12251
Benton,586,6824,421,14668
Plymouth,559,6371,2835,16173
Madison,518,6336,139,13380
Jackson,490,7356,202,15387
Kossuth,490,5296,388,11522
Guthrie,480,3849,216,8409
Hardin,479,5552,1238,12877
Crawford,473,5414,1521,12846
Union,462,4296,233,9204
Wright,455,4259,1628,10580
Delaware,446,4077,710,9277
Floyd,442,5737,930,12864
Greene,422,3963,459,8880
Hamilton,413,6325,381,13593
O'Brien,403,4760,284,10215
Cedar,401,5711,249,12049
Clarke,383,3725,1321,9166
Appanoose,369,3855,442,8609
Montgomery,368,2858,549,6661
Allamakee,358,5251,88,10950
Buchanan,355,5694,264,12009
Grundy,348,4223,320,9124
Shelby,340,5287,91,11052
Harrison,336,3118,208,6790
Cherokee,334,4251,220,9063
Iowa,323,5258,540,11399
Humboldt,308,3640,349,8076
Winnebago,301,3534,455,7849
Clayton,293,5726,626,12417
Monroe,287,2843,247,6250
Monona,273,1826,126,4037
Lucas,271,3066,368,6868
Out of State,252,5284,0,10474
Wayne,244,2745,359,6192
Adair,228,2018,309,4509
Decatur,228,2662,115,5757
Palo Alto,219,3076,131,6531
Davis,211,3012,1642,7907
Louisa,203,3009,1513,7710
Hancock,203,2751,677,6381
Mitchell,182,4129,118,8575
Franklin,180,3220,213,6843
Lyon,179,2823,60,5884
Ringgold,160,1899,4,4013
Calhoun,157,3972,156,8284
Butler,152,3699,136,7694
Chickasaw,150,2626,305,5700
Howard,141,1946,139,4156
Sac,128,3157,39,6498
Taylor,125,2092,10,4340
Adams,121,1574,4,3452
Ida,117,1457,464,3492
Fremont,107,1505,89,3205
Keokuk,99,1481,100,3161
Audubon,98,1903,101,4002
Van Buren,98,1363,91,2916
Pocahontas,88,1782,140,3794
Worth,83,1624,0,3328
Osceola,66,1400,149,3015
