County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,58810,93095,1596,247932
Linn,27416,49895,3726,129873
Scott,19733,34807,1532,91789
Johnson,17629,43765,1276,106913
Black Hawk,16362,31264,2937,82086
Dubuque,15149,27691,321,70816
Dallas,11035,13253,1057,37973
Story,10962,19238,410,49723
Pottawattamie,10374,22332,3859,59755
Woodbury,8906,22120,1857,54555
Cerro Gordo,6984,12204,1019,32306
Webster,6399,7066,499,21025
Clinton,5949,5859,559,18215
Des Moines,4575,9359,299,23435
Warren,4438,7252,103,18753
Cass,4399,3957,0,12340
Fayette,4149,4261,200,12850
Marion,3875,5214,2982,17268
Muscatine,3851,5172,2238,16454
Lee,3733,5652,289,15496
Marshall,3590,4690,1834,14764
Bremer,3475,6267,110,16080
Carroll,3328,4248,600,12436
Jasper,3265,6264,101,15643
Boone,3224,4779,97,12831
Jefferson,3130,2629,134,8523
Wapello,2964,5829,35,14657
Winneshiek,2807,3006,1,8819
Sioux,2717,5057,1340,14173
Henry,2503,2759,123,8147
Dickinson,2436,3614,0,9636
Poweshiek,2363,3500,0,9276
Hamilton,2317,2968,0,8264
Clay,2275,4831,0,11869
Washington,2226,2813,1,7849
Page,2198,3119,133,8555
Clarke,2155,1150,1107,5542
Mahaska,2150,3138,79,8494
Madison,2148,2799,0,7747
Mitchell,2142,1735,0,5612
Kossuth,2120,2877,0,7865
Allamakee,2061,2943,0,7944
Clayton,2024,3335,0,8686
Plymouth,1953,3982,2538,12454
Benton,1945,3506,0,8960
Hardin,1923,2788,445,7924
Crawford,1906,2773,1287,8723
Humboldt,1905,1516,0,4963
Greene,1901,1523,100,5051
Buchanan,1866,3035,50,7973
Tama,1830,3534,650,9463
Cedar,1827,3105,0,8030
Appanoose,1767,1955,0,5660
Shelby,1756,2654,33,7099
Mills,1737,2483,0,6708
Floyd,1698,2967,325,7937
Wright,1625,2163,1320,7249
Buena Vista,1519,3347,2479,10762
Decatur,1506,1106,0,3691
Grundy,1499,2197,0,5895
Franklin,1487,1579,0,4639
Calhoun,1453,2089,0,5627
Jackson,1445,4484,0,10405
O'Brien,1426,2777,0,6989
Cherokee,1403,2361,81,6203
Guthrie,1402,1833,0,5055
Union,1396,2085,0,5562
Winnebago,1362,1642,0,4634
Jones,1338,2599,0,6579
Emmet,1312,2452,1,6268
Delaware,1276,2194,100,5761
Lucas,1219,1401,96,4109
Wayne,1201,1458,0,4119
Davis,1145,1568,1477,5750
Palo Alto,1015,1795,0,4625
Louisa,1010,1697,1389,5777
Harrison,982,1766,0,4515
Sac,955,1942,0,4841
Iowa,950,2773,0,6491
Lyon,912,1509,0,3926
Monroe,870,1602,99,4171
Montgomery,859,1570,99,4090
Adams,848,834,0,2512
Butler,828,2356,0,5543
Adair,783,1050,0,2867
Chickasaw,780,1511,0,3798
Taylor,750,1259,0,3267
Hancock,727,1674,0,4072
Ringgold,688,1102,0,2886
Audubon,619,1106,0,2831
Pocahontas,523,908,100,2438
Howard,488,1051,0,2587
Monona,468,1136,2,2733
Van Buren,449,705,0,1858
Fremont,440,943,0,2327
Osceola,434,833,0,2101
Worth,429,943,0,2311
Keokuk,418,874,0,2166
Ida,411,1004,0,2421
Out of State,292,4255,0,8382
