Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.15457209847596718,American Indian or Alaska Native
Asian,0.3465804396153069,Asian
Black,0.1770656883025643,Black
Native Hawaiian or Other Pacific Islander,0.3139050791007494,Native Hawaiian or Other Pacific Islander
Other Race,0.48082452909437498,Other Race
White,0.39951033199490745,White
