County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,661101,62502,52386,598,532,66
Linn,277533,21478,19272,329,293,36
Black Hawk,205686,16873,14793,306,283,23
Johnson,201694,14683,13161,80,75,5
Scott,199643,20077,17219,234,214,20
Dubuque,181231,14259,12306,202,188,14
Story,156122,10971,9700,47,41,6
Woodbury,140285,16049,13894,219,201,18
Dallas,122774,12103,10292,96,84,12
Pottawattamie,114390,11674,9879,160,141,19
Marshall,79327,5120,4619,74,66,8
Cerro Gordo,73317,5573,4964,86,72,14
Warren,72928,5964,5167,86,76,10
Webster,66363,5334,4906,91,77,14
Clinton,60146,5771,4991,89,77,12
Des Moines,53875,4725,4261,65,54,11
Muscatine,52922,4863,4235,96,87,9
Lee,51930,3898,3581,55,42,13
Jasper,49571,4395,3873,70,65,5
Wapello,45350,4598,4020,120,116,4
Buena Vista,43527,4853,4107,40,36,4
Sioux,42752,5196,4775,73,70,3
Boone,42591,2745,2444,31,29,2
Poweshiek,41406,1594,1474,33,30,3
Marion,40718,3739,3406,75,64,11
Washington,39211,2646,2370,49,45,4
Bremer,37638,2916,2674,60,51,9
Winneshiek,37184,2002,1821,33,28,5
Plymouth,36756,4232,3658,79,71,8
Benton,35782,2644,2392,55,44,11
Carroll,35098,2977,2681,50,43,7
Henry,34934,2998,2773,37,36,1
Fayette,34303,1904,1766,41,36,5
Hardin,33105,1912,1681,42,34,8
Tama,31560,2186,1968,71,67,4
Mahaska,29667,2341,2122,49,44,5
Buchanan,29609,1975,1765,31,26,5
Cedar,29428,1908,1734,23,21,2
Clay,28802,2190,1872,25,20,5
Iowa,28549,1510,1400,24,22,2
Butler,28453,1707,1560,34,30,4
Delaware,26683,2049,1841,39,35,4
Crawford,26496,2850,2533,39,34,5
Dickinson,25458,2560,2066,43,37,6
Kossuth,25158,2229,1961,61,54,7
Jones,24987,3036,2810,55,51,4
O'Brien,24904,2099,1806,60,55,5
Jackson,24713,2299,2074,42,39,3
Floyd,24376,1716,1454,42,32,10
Clayton,23958,1737,1562,55,46,9
Hamilton,22591,1956,1701,49,45,4
Mills,20762,1738,1499,20,17,3
Page,20547,1952,1799,20,18,2
Allamakee,20441,1543,1420,51,41,10
Harrison,20418,1875,1613,73,69,4
Hancock,20355,1522,1355,34,27,7
Cherokee,20219,1664,1456,38,30,8
Wright,20098,1854,1723,35,28,7
Cass,19977,1417,1264,54,48,6
Jefferson,19760,1416,1269,35,29,6
Madison,19727,1656,1458,19,15,4
Sac,19078,1333,1191,19,19,0
Franklin,18900,1222,1078,21,19,2
Grundy,18652,1425,1297,32,27,5
Palo Alto,17826,1150,1006,22,20,2
Guthrie,17701,1247,1086,28,23,5
Calhoun,17668,1379,1294,11,11,0
Monona,17554,859,752,30,28,2
Mitchell,17201,1362,1196,41,38,3
Appanoose,17142,1428,1192,47,43,4
Winnebago,16829,1454,1296,31,26,5
Chickasaw,16799,1287,1194,15,13,2
Louisa,16673,1326,1191,49,42,7
Union,16512,1320,1177,32,26,6
Emmet,16344,1346,1123,40,38,2
Shelby,16306,1322,1161,37,33,4
Howard,16270,1068,986,22,18,4
Lyon,15170,1540,1438,41,37,4
Keokuk,15020,1010,901,30,30,0
Humboldt,14913,1226,1121,26,23,3
Greene,14339,811,732,10,10,0
Montgomery,13794,1074,936,37,35,2
Clarke,12891,1039,944,23,22,1
Worth,12401,741,664,8,7,1
Pocahontas,12361,875,798,21,21,0
Ida,12053,993,813,33,31,2
Adair,11975,959,796,32,22,10
Audubon,11754,511,465,9,8,1
Pending Investigation,11359,1028,937,0,0,0
Davis,10633,867,749,24,23,1
Decatur,10127,602,574,9,9,0
Ringgold,9382,552,497,22,18,4
Monroe,9368,974,879,28,21,7
Lucas,9009,776,715,22,18,4
Osceola,8317,765,672,16,13,3
Taylor,8297,674,632,12,10,2
Van Buren,8092,580,521,18,15,3
Fremont,7036,636,555,10,8,2
Wayne,6526,557,468,23,18,5
Adams,5362,336,315,4,4,0
