County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,246187,49523,44646,520,464,56
Linn,105601,18990,17271,303,276,27
Scott,77846,16617,15146,194,182,12
Johnson,71802,12755,11817,67,62,5
Black Hawk,64448,14634,13430,271,255,16
Woodbury,54047,13437,12765,203,189,14
Dubuque,52322,12063,11091,186,175,11
Story,50504,9221,8544,43,38,5
Dallas,48536,9700,8698,84,73,11
Pottawattamie,43336,9537,8781,138,123,15
Warren,25119,4905,4285,67,63,4
Cerro Gordo,21916,4911,4538,79,67,12
Clinton,20008,4833,4406,78,70,8
Webster,19913,4834,4586,83,70,13
Muscatine,19361,4073,3741,87,78,9
Des Moines,19231,4126,3743,55,48,7
Marshall,19116,4508,4187,69,63,6
Jasper,16157,3532,3116,65,61,4
Wapello,15961,3774,3334,103,101,2
Sioux,14490,4679,4478,66,63,3
Lee,14465,3447,3088,47,35,12
Marion,14111,3276,2973,66,58,8
Buena Vista,13786,4031,3883,36,33,3
Boone,12329,2351,2126,27,25,2
Plymouth,12187,3604,3418,75,67,8
Benton,11352,2261,2026,53,43,10
Bremer,11053,2596,2389,53,47,6
Washington,10740,2324,2095,40,38,2
Carroll,10451,2620,2483,46,39,7
Henry,9984,2743,2600,34,34,0
Mahaska,9462,2105,1850,44,39,5
Dickinson,9431,1950,1804,37,31,6
Winneshiek,9086,1735,1495,26,22,4
Jones,9051,2819,2643,54,50,4
Pending Investigation,8825,1126,877,0,0,0
Buchanan,8529,1704,1553,26,24,2
Fayette,8374,1740,1554,28,25,3
Jackson,8175,2045,1870,37,34,3
Cedar,8153,1621,1472,20,19,1
Crawford,8098,2443,2244,34,30,4
Poweshiek,8052,1446,1293,29,27,2
Tama,7745,1970,1794,63,61,2
Clay,7578,1806,1634,25,20,5
Hardin,7550,1646,1510,34,31,3
Wright,7348,1698,1599,30,25,5
Iowa,7345,1347,1207,23,21,2
Delaware,7210,1828,1671,38,33,5
Kossuth,7130,1915,1684,52,46,6
Mills,7108,1446,1336,20,17,3
Jefferson,6993,1257,1171,31,27,4
Floyd,6959,1457,1341,38,30,8
Madison,6887,1352,1167,16,12,4
Hamilton,6790,1693,1542,38,37,1
Butler,6397,1558,1436,30,27,3
Clayton,6326,1574,1468,53,45,8
O'Brien,6085,1759,1628,58,54,4
Union,6045,1165,1058,31,26,5
Harrison,5961,1641,1473,68,64,4
Cass,5752,1223,1079,46,44,2
Winnebago,5534,1265,1152,30,25,5
Page,5513,1545,1430,17,16,1
Allamakee,5460,1363,1221,41,35,6
Appanoose,5439,1186,1051,46,43,3
Cherokee,5423,1421,1341,35,29,6
Hancock,5363,1357,1263,27,22,5
Grundy,5284,1278,1178,30,25,5
Guthrie,5087,1067,996,28,23,5
Mitchell,5005,1183,1122,39,38,1
Louisa,4927,1193,1104,41,34,7
Calhoun,4890,1264,1210,9,9,0
Sac,4867,1152,1087,17,17,0
Chickasaw,4867,1167,1108,12,11,1
Shelby,4842,1116,985,32,29,3
Franklin,4687,1079,983,19,18,1
Emmet,4599,1131,1054,39,37,2
Clarke,4410,898,756,19,19,0
Humboldt,4347,1108,1016,22,19,3
Lyon,4210,1420,1312,40,36,4
Palo Alto,4070,970,882,19,17,2
Howard,4055,955,798,20,16,4
Montgomery,4048,949,811,35,33,2
Greene,3746,716,679,9,9,0
Keokuk,3741,897,819,28,28,0
Lucas,3436,688,633,18,15,3
Monona,3419,743,638,22,21,1
Worth,3343,641,591,4,3,1
Adair,3265,755,662,25,19,6
Decatur,3219,531,478,8,8,0
Pocahontas,3208,803,757,18,18,0
Monroe,3057,865,784,27,21,6
Davis,2980,739,668,23,22,1
Ida,2955,799,702,31,30,1
Van Buren,2462,527,478,17,14,3
Fremont,2426,540,497,9,7,2
Audubon,2350,449,400,9,8,1
Taylor,2334,627,585,11,9,2
Osceola,2211,657,621,13,11,2
Ringgold,2188,489,431,16,15,1
Wayne,2005,437,394,21,17,4
Adams,1441,313,292,3,3,0
