County,Series Initiated,Series Completed
Polk,31954,11493
Johnson,12626,10053
Linn,12088,5836
Black Hawk,7787,2929
Scott,7407,3027
Pottawattamie,5119,3577
Story,4925,2200
Dubuque,4648,3372
Woodbury,4357,2587
Dallas,3558,969
Cerro Gordo,3354,1680
Webster,2181,973
Jasper,1944,852
Bremer,1789,1083
Lee,1723,616
Warren,1597,727
Clay,1592,473
Boone,1170,607
Wapello,1143,534
Carroll,1053,769
Des Moines,1049,1091
Sioux,1002,621
Clinton,953,666
Marshall,793,436
Mills,692,247
Benton,683,429
Hardin,667,383
Winneshiek,657,471
Muscatine,654,511
O'Brien,637,379
Delaware,635,379
Plymouth,604,134
Tama,593,139
Shelby,570,310
Clayton,560,252
Jackson,541,313
Buena Vista,518,352
Cedar,499,281
Calhoun,475,185
Dickinson,470,445
Jones,452,298
Fayette,442,317
Washington,433,164
Buchanan,423,356
Crawford,416,291
Kossuth,415,204
Humboldt,410,221
Mahaska,410,174
Allamakee,389,134
Winnebago,388,108
Wright,378,281
Harrison,369,116
Montgomery,366,217
Marion,366,842
Monroe,359,71
Henry,357,412
Page,356,527
Jefferson,355,313
Madison,345,219
Ida,336,71
Union,330,272
Grundy,321,237
Hamilton,309,334
Monona,308,151
Cass,301,328
Butler,288,137
Guthrie,288,187
Poweshiek,288,190
Appanoose,287,149
Ringgold,284,148
Fremont,274,87
Worth,273,49
Taylor,272,28
Audubon,267,126
Franklin,266,154
Palo Alto,265,322
Howard,254,153
Cherokee,250,392
Wayne,239,178
Emmet,223,205
Greene,212,139
Lyon,211,132
Adams,208,63
Decatur,208,108
Lucas,184,89
Clarke,182,132
Hancock,176,190
Chickasaw,174,158
Iowa,161,296
Floyd,160,235
Mitchell,159,199
Van Buren,152,51
Louisa,144,49
Keokuk,123,154
Osceola,107,86
Adair,101,113
Davis,96,112
Sac,94,166
Pocahontas,70,82
.,0,0
