County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,55505,168399,7746,400238
Linn,20822,88427,7034,203370
Johnson,14071,68967,3189,154824
Story,12713,33030,1768,79683
Scott,10487,61371,4340,138847
Dallas,9581,29082,1575,68115
Black Hawk,8389,53113,4905,119808
Pottawattamie,7153,33371,4360,79215
Dubuque,6275,49868,1403,107230
Woodbury,4790,35096,4020,78595
Marshall,3486,8845,2520,23629
Warren,3349,12897,613,29523
Cerro Gordo,3247,19952,1252,44460
Clinton,3021,11872,1104,27951
Jasper,2657,10115,562,23242
Webster,2575,13421,910,30549
Muscatine,2567,9931,4147,26693
Des Moines,2447,14472,579,31985
Wapello,1728,9368,451,21013
Boone,1703,8733,340,19438
Bremer,1679,9959,990,22559
Lee,1643,9390,1243,21927
Marion,1544,9773,3754,24969
Jones,1508,4250,612,10668
Henry,1493,5444,1115,13545
Tama,1472,5984,944,14310
Carroll,1411,7702,859,17773
Winneshiek,1314,5978,723,14023
Page,1267,5329,627,12573
Poweshiek,1262,7216,187,15822
Sioux,1206,8218,2413,20068
Washington,1201,5488,403,12594
Mahaska,1186,5822,302,13177
Madison,1111,5508,110,12252
Buena Vista,1078,5219,3161,14773
Hamilton,1056,5447,340,12410
Jefferson,1001,5785,803,13382
Fayette,965,8788,838,19402
Jackson,925,6658,146,14376
Benton,892,6277,377,13825
Floyd,873,5085,777,11829
Mills,796,4476,97,9859
Dickinson,730,6473,151,13840
Emmet,706,4119,309,9353
Union,669,3906,159,8524
Cedar,662,5263,224,11390
Cass,640,9196,284,19508
Clay,627,7157,94,14994
Delaware,625,3704,653,8671
Hardin,624,5137,1192,12134
Guthrie,624,3481,174,7764
Grundy,614,3803,225,8451
Iowa,603,4867,484,10828
Harrison,600,2814,202,6435
Allamakee,583,4963,58,10561
Kossuth,579,5030,380,11064
Crawford,561,5054,1467,12161
Buchanan,528,5352,214,11445
Calhoun,525,3592,130,7856
Plymouth,517,6071,2805,15500
Lucas,516,2714,328,6332
Clarke,489,3439,1300,8661
O'Brien,485,4450,245,9641
Clayton,478,5470,603,12047
Wright,464,4004,1520,9970
Greene,463,3749,408,8433
Butler,450,3390,113,7350
Cherokee,449,3989,189,8621
Appanoose,439,3678,420,8297
Montgomery,434,2655,515,6285
Winnebago,427,3266,406,7387
Mitchell,416,3817,82,8145
Shelby,414,5062,63,10653
Hancock,388,2513,576,5991
Humboldt,363,3468,324,7759
Monona,360,1645,105,3742
Lyon,359,2608,27,5597
Howard,331,1710,106,3843
Louisa,321,2813,1493,7416
Franklin,318,3023,187,6557
Sac,308,2967,28,6284
Chickasaw,297,2433,298,5456
Wayne,288,2653,338,6016
Decatur,285,2529,105,5529
Palo Alto,265,2941,99,6282
Pocahontas,265,1556,130,3510
Monroe,258,2702,212,5900
Out of State,250,4254,0,8440
Davis,244,2892,1607,7657
Worth,227,1446,0,3116
Adair,222,1922,285,4288
Taylor,204,1964,0,4162
Ringgold,201,1812,1,3861
Ida,177,1381,452,3390
Van Buren,171,1280,84,2816
Keokuk,171,1371,100,3014
Adams,153,1522,1,3352
Osceola,136,1312,129,2889
Fremont,133,1445,73,3098
Audubon,126,1815,101,3854
