Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.16840562719812428,American Indian or Alaska Native
Asian,0.371925486513154,Asian
Black,0.19510557745599314,Black
Native Hawaiian or Other Pacific Islander,0.34117402164862617,Native Hawaiian or Other Pacific Islander
Other Race,0.5166230493360473,Other Race
White,0.41425038823677548,White
