County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,214253,39611,32204,400,364,36
Linn,92991,16069,13567,232,218,14
Scott,68295,13538,10685,141,133,8
Johnson,63232,10661,9163,47,43,4
Black Hawk,55965,12280,10542,210,197,13
Woodbury,48703,11886,10114,160,150,10
Dubuque,46976,10278,8911,135,127,8
Story,44822,7754,6640,27,23,4
Dallas,42156,7545,6114,62,52,10
Pottawattamie,38507,7861,6082,87,79,8
Warren,21646,3537,2674,29,27,2
Cerro Gordo,19320,4185,3348,59,50,9
Webster,18212,4268,3438,57,51,6
Clinton,17353,3961,3150,52,47,5
Muscatine,17019,3432,2748,72,65,7
Des Moines,16898,3370,2772,32,29,3
Marshall,16565,3892,3364,53,50,3
Jasper,14084,2703,2075,51,49,2
Wapello,13297,2988,2406,90,88,2
Sioux,12981,4222,3652,41,40,1
Lee,12613,2725,1958,23,19,4
Buena Vista,12603,3552,2964,24,21,3
Marion,12066,2530,1970,40,35,5
Plymouth,11045,3255,2651,49,43,6
Boone,10515,1754,1332,15,13,2
Benton,10077,1930,1616,34,30,4
Carroll,9363,2277,1910,27,21,6
Washington,9345,1765,1346,27,26,1
Bremer,9295,2189,1881,40,37,3
Pending Investigation,9032,494,390,0,0,0
Henry,8970,2404,1884,22,22,0
Dickinson,8513,1645,1321,13,11,2
Mahaska,8177,1602,1205,32,30,2
Jones,8055,2531,2270,41,40,1
Winneshiek,7752,1304,920,17,15,2
Buchanan,7474,1383,1129,16,15,1
Crawford,7258,2028,1712,20,17,3
Fayette,7164,1263,990,16,15,1
Jackson,7134,1721,1465,29,28,1
Cedar,7121,1320,1023,17,16,1
Tama,6809,1703,1453,55,53,2
Clay,6724,1494,1115,11,8,3
Poweshiek,6705,1149,957,23,22,1
Hardin,6677,1398,1112,24,22,2
Wright,6676,1474,1185,14,12,2
Iowa,6470,1106,882,19,19,0
Delaware,6451,1588,1375,28,27,1
Mills,6439,1238,1037,13,12,1
Floyd,6197,1236,984,32,24,8
Kossuth,6152,1448,982,26,25,1
Hamilton,6012,1405,1053,21,21,0
Jefferson,5874,923,679,20,19,1
Madison,5747,892,667,8,7,1
Clayton,5496,1304,1059,39,35,4
Butler,5472,1197,955,17,16,1
O'Brien,5449,1544,1268,50,46,4
Union,5426,973,735,16,16,0
Harrison,5228,1341,1022,52,49,3
Cass,4989,984,761,38,36,2
Page,4964,1321,1174,13,13,0
Winnebago,4902,1076,868,28,23,5
Allamakee,4810,1105,738,19,15,4
Cherokee,4740,1169,790,19,17,2
Hancock,4703,1117,830,24,19,5
Appanoose,4680,918,759,34,34,0
Calhoun,4517,1159,1016,9,9,0
Grundy,4508,1008,811,14,12,2
Guthrie,4503,897,719,22,17,5
Mitchell,4460,962,751,26,26,0
Louisa,4381,1013,819,24,20,4
Sac,4358,1006,795,14,14,0
Chickasaw,4230,998,822,10,9,1
Shelby,4156,903,728,23,23,0
Emmet,4040,946,755,23,22,1
Franklin,4030,851,690,18,17,1
Humboldt,3839,916,742,18,15,3
Lyon,3664,1197,990,23,21,2
Palo Alto,3652,782,622,7,7,0
Clarke,3609,604,466,6,6,0
Howard,3438,669,509,15,11,4
Greene,3425,621,504,7,7,0
Montgomery,3385,686,445,14,13,1
Keokuk,3249,757,558,22,22,0
Monona,3008,528,416,15,14,1
Pocahontas,2930,674,546,8,8,0
Lucas,2902,478,311,7,7,0
Adair,2883,552,416,17,13,4
Worth,2882,477,347,2,2,0
Decatur,2628,393,316,3,3,0
Ida,2595,670,448,21,20,1
Davis,2504,607,465,18,17,1
Monroe,2473,571,422,16,15,1
Van Buren,2155,440,359,11,10,1
Fremont,2153,445,367,5,3,2
Taylor,2076,518,445,8,7,1
Osceola,1987,602,514,7,6,1
Audubon,1970,343,287,7,7,0
Ringgold,1895,343,200,7,6,1
Wayne,1769,353,284,21,17,4
Adams,1236,235,164,2,2,0
,,,,1,1,0
