RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,59439,55399,4040
19153,195709,185923,9786
19087,6981,5834,1147
19059,7431,7231,200
19049,37860,35990,1870
19193,35094,31147,3947
19065,7737,7258,479
19103,75232,71189,4043
19121,5872,5620,252
19013,52874,48343,4531
19181,19355,18428,927
19115,3809,2877,932
19041,6011,5721,290
19055,6506,5776,730
19155,30116,28282,1834
19169,40662,38568,2094
19069,3773,3483,290
19077,4290,4031,259
19027,9143,8247,896
19139,16862,13531,3331
19127,15527,13315,2212
19123,6360,5731,629
19089,3274,2895,379
19083,6660,5907,753
19085,4780,4482,298
19079,6462,5874,588
19081,3667,3315,352
19005,4735,4570,165
19015,11122,10587,535
19023,6127,5800,327
19025,3924,3666,258
19017,10559,9659,900
19043,6442,5940,502
19019,7835,7344,491
19113,97274,90249,7025
19063,3389,3139,250
19125,11647,9726,1921
19073,3536,3107,429
19175,4263,4081,182
19095,7088,6544,544
19033,17916,16704,1212
19179,11240,9309,1931
19061,45358,44010,1348
19195,2682,2547,135
19109,5665,5235,430
19137,3837,3368,469
19147,3334,3159,175
19007,4006,3663,343
19099,13553,12456,1097
19045,15556,14463,1093
19149,9303,7379,1924
19037,4659,4081,578
19105,7998,7169,829
19009,2412,2283,129
19191,8897,8165,732
19021,8164,5532,2632
19131,3617,3480,137
19029,5320,5050,270
19051,2280,2163,117
19183,8529,7954,575
19091,3447,3133,314
19173,2083,2032,51
19157,7462,7152,310
19197,5040,4243,797
19167,10309,8810,1499
19047,6139,4933,1206
19161,3789,3510,279
19003,1338,1306,32
19067,5729,5363,366
19053,2192,2000,192
19189,3938,3458,480
19145,5343,4955,388
19111,10874,9787,1087
19171,7056,6340,716
19035,4439,4120,319
19011,10090,9322,768
19119,3180,3045,135
19107,3320,3076,244
19031,7767,7204,563
19143,1997,1845,152
19187,13550,12557,993
19101,5882,5310,572
19057,12788,12126,662
19097,7535,7246,289
19039,3357,2716,641
19093,2383,2027,356
19151,2515,2330,185
19135,2532,2274,258
19075,5420,5072,348
19165,4986,4813,173
19141,5109,4677,432
19177,2037,1886,151
19071,2244,2087,157
19001,2493,2235,258
19129,4871,4650,221
19117,2685,2352,333
19133,3206,3062,144
19159,1844,1814,30
19185,1872,1731,141
,39,33,6
